Trial = 1, Category choice = 1, Response = False
Trial = 2, Category choice = 1, Response = Correct
Trial = 3, Category choice = 2, Response = False
Trial = 4, Category choice = 2, Response = Correct
Trial = 5, Category choice = 1, Response = Correct
Trial = 6, Category choice = 2, Response = Correct
Trial = 7, Category choice = 1, Response = False
Trial = 8, Category choice = 2, Response = Correct
Trial = 9, Category choice = 1, Response = False
Trial = 10, Category choice = 1, Response = False
Trial = 11, Category choice = 1, Response = False
Trial = 12, Category choice = 2, Response = Correct
Trial = 13, Category choice = 1, Response = Correct
Trial = 14, Category choice = 1, Response = False
Trial = 15, Category choice = 2, Response = False
Trial = 16, Category choice = 1, Response = Correct
Trial = 17, Category choice = 2, Response = False
Trial = 18, Category choice = 2, Response = False
Trial = 19, Category choice = 2, Response = False
Trial = 20, Category choice = 2, Response = Correct
Trial = 21, Category choice = 2, Response = False
Trial = 22, Category choice = 2, Response = False
Trial = 23, Category choice = 2, Response = False
Trial = 24, Category choice = 2, Response = Correct
Trial = 25, Category choice = 2, Response = False
Trial = 26, Category choice = 1, Response = Correct
Trial = 27, Category choice = 2, Response = False
Trial = 28, Category choice = 1, Response = Correct
Trial = 29, Category choice = 1, Response = False
Trial = 30, Category choice = 2, Response = False
Trial = 31, Category choice = 1, Response = False
Trial = 32, Category choice = 2, Response = False
Trial = 33, Category choice = 1, Response = False
Trial = 34, Category choice = 2, Response = Correct
Trial = 35, Category choice = 1, Response = False
Trial = 36, Category choice = 2, Response = False
Trial = 37, Category choice = 1, Response = Correct
Trial = 38, Category choice = 1, Response = Correct
Trial = 39, Category choice = 2, Response = Correct
Trial = 40, Category choice = 2, Response = False
Trial = 41, Category choice = 1, Response = False
Trial = 42, Category choice = 2, Response = False
Trial = 43, Category choice = 2, Response = False
Trial = 44, Category choice = 1, Response = False
Trial = 45, Category choice = 1, Response = Correct
Trial = 46, Category choice = 1, Response = Correct
Trial = 47, Category choice = 1, Response = Correct
Trial = 48, Category choice = 1, Response = False
Trial = 49, Category choice = 2, Response = Correct
Trial = 50, Category choice = 2, Response = Correct
Trial = 51, Category choice = 1, Response = Correct
Trial = 52, Category choice = 1, Response = Correct
Trial = 53, Category choice = 1, Response = False
Trial = 54, Category choice = 1, Response = False
Trial = 55, Category choice = 1, Response = False
Trial = 56, Category choice = 2, Response = Correct
Trial = 57, Category choice = 1, Response = Correct
Trial = 58, Category choice = 1, Response = Correct
Trial = 59, Category choice = 2, Response = False
Trial = 60, Category choice = 1, Response = Correct
Trial = 61, Category choice = 1, Response = False
Trial = 62, Category choice = 1, Response = False
Trial = 63, Category choice = 2, Response = Correct
Trial = 64, Category choice = 2, Response = False
Trial = 65, Category choice = 2, Response = False
Trial = 66, Category choice = 2, Response = Correct
Trial = 67, Category choice = 2, Response = False
Trial = 68, Category choice = 1, Response = False
Trial = 69, Category choice = 1, Response = False
Trial = 70, Category choice = 2, Response = False
Trial = 71, Category choice = 1, Response = Correct
Trial = 72, Category choice = 2, Response = Correct
Trial = 73, Category choice = 2, Response = Correct
Trial = 74, Category choice = 1, Response = Correct
Trial = 75, Category choice = 1, Response = Correct
Trial = 76, Category choice = 1, Response = False
Trial = 77, Category choice = 1, Response = Correct
Trial = 78, Category choice = 2, Response = False
Trial = 79, Category choice = 1, Response = Correct
Trial = 80, Category choice = 2, Response = False
Trial = 81, Category choice = 2, Response = Correct
Trial = 82, Category choice = 2, Response = False
Trial = 83, Category choice = 1, Response = Correct
Trial = 84, Category choice = 2, Response = Correct
Trial = 85, Category choice = 1, Response = False
Trial = 86, Category choice = 1, Response = Correct
Trial = 87, Category choice = 1, Response = Correct
Trial = 88, Category choice = 1, Response = Correct
Trial = 89, Category choice = 1, Response = False
Trial = 90, Category choice = 2, Response = False
Trial = 91, Category choice = 1, Response = False
Trial = 92, Category choice = 1, Response = Correct
Trial = 93, Category choice = 2, Response = Correct
Trial = 94, Category choice = 1, Response = False
Trial = 95, Category choice = 1, Response = Correct
Trial = 96, Category choice = 2, Response = Correct
Trial = 97, Category choice = 2, Response = Correct
Trial = 98, Category choice = 1, Response = False
Trial = 99, Category choice = 1, Response = Correct
Trial = 100, Category choice = 1, Response = Correct
